Bill number,Supplier,Transaction date,Due date,Supplier invoice number,Amounts are,Item,Description,Account No.,No. of Unit,Unit Price,Discount %,Amount ($),Tax code,Tax amount ($),Job No.,Job name
996404674,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 75042KM,6-1791,1,510.91,,510.91,GST,51.09,,
83948-1,Watkins Electrical,########,########,83948-1,Tax exclusive,,Fitted 12 x 10a plug tops,5-1445,1,247.1,,247.1,GST,24.71,,
84179-1,Watkins Electrical,########,########,84179-1,Tax exclusive,,Fitted 12 x 10a plug tops,5-1445,1,176.5,,176.5,GST,17.65,,
10099,Admired Flooring,########,########,10099,Tax exclusive,,,5-1445,1,"1,694.23",,"1,694.23",GST,169.42,,
10100,Admired Flooring,########,########,10100,Tax exclusive,,,5-1445,1,"1,938.35",,"1,938.35",GST,193.84,,
10101,Admired Flooring,########,########,10101,Tax exclusive,,,5-1445,1,"1,791.88",,"1,791.88",GST,179.19,,
10102,Admired Flooring,########,########,10102,Tax exclusive,,,5-1445,1,"1,889.53",,"1,889.53",GST,188.95,,
10103,Admired Flooring,########,########,10103,Tax exclusive,,,5-1445,1,"1,840.70",,"1,840.70",GST,184.07,,
10105,Admired Flooring,########,########,10105,Tax exclusive,,,5-1445,1,"1,791.88",,"1,791.88",GST,179.19,,
10106,Admired Flooring,########,########,10106,Tax exclusive,,,5-1445,1,"1,596.58",,"1,596.58",GST,159.66,,
10107,Admired Flooring,########,########,10107,Tax exclusive,,,5-1445,1,"1,596.58",,"1,596.58",GST,159.66,,
10216,Admired Flooring,########,########,10216,Tax exclusive,,,5-1445,1,"1,176.25",,"1,176.25",GST,117.63,,
6229543,Bremick Fasteners,########,########,6229543,Tax exclusive,,,5-1445,1,471.57,,471.57,GST,47.16,,
6227079,Bremick Fasteners,########,########,6227079,Tax exclusive,,,5-1445,1,408.05,,408.05,GST,40.81,,
6156702,Bremick Fasteners,########,########,6156702,Tax exclusive,,,5-1445,1,490.59,,490.59,GST,49.06,,
6152288,Bremick Fasteners,########,########,6152288,Tax exclusive,,,5-1445,1,475.14,,475.14,GST,47.51,,
6148931,Bremick Fasteners,########,########,6148931,Tax exclusive,,,5-1445,1,152.23,,152.23,GST,15.22,,
6146665,Bremick Fasteners,########,########,6146665,Tax exclusive,,,5-1445,1,661.49,,661.49,GST,66.15,,
6143386,Bremick Fasteners,########,########,6143386,Tax exclusive,,,5-1445,1,711.58,,711.58,GST,71.16,,
6142409,Bremick Fasteners,########,########,6142409,Tax exclusive,,,5-1445,1,281.64,,281.64,GST,28.16,,
6232186,Bremick Fasteners,########,########,6232186,Tax exclusive,,,5-1445,1,759.82,,759.82,GST,75.98,,
6231744,Bremick Fasteners,########,########,6231744,Tax exclusive,,,5-1445,1,261.11,,261.11,GST,26.11,,
6230214,Bremick Fasteners,########,########,6230214,Tax exclusive,,,5-1445,1,227.55,,227.55,GST,22.75,,
6219469,Bremick Fasteners,########,########,6219469,Tax exclusive,,,5-1445,1,300.6,,300.6,GST,30.06,,
117724,Ulton Group +,########,########,117724,Tax exclusive,,As per invoice.,6-1447,1,"1,750.00",,"1,750.00",GST,175,,
454,Henzells Agency Pty Ltd,########,########,454,Tax exclusive,,Rent 01.02.24-29.02.24,6-1921,1,"6,117.82",,"6,117.82",GST,611.78,,
3294,Keen Eye Cleaning,########,########,3294,Tax exclusive,,Commercial Clean 07.12.23-28.12.23,5-1445,1,"1,200.00",,"1,200.00",GST,120,,
100-5078,Fraser Coast Wildlife Sanctuary,########,########,100-5078,Tax exclusive,,Donation,6-1489,1,500,,500,N-T,0,,
20247279,Rapid Building Approval,########,########,20247279,Tax exclusive,,Lot 248 (4) Earl st Vincent cct,5-1439,1,722.73,,722.73,GST,72.27,,
8243,JR Marketing Group,########,########,8243,Tax exclusive,,Sign Writing Big Sign @ Soccer Club,6-1999,1,"1,272.73",,"1,272.73",GST,127.27,,
December,Nanas Animal Rescue Inc,########,########,December,Tax exclusive,,December donation,6-1489,1,750,,750,N-T,0,,
321,Brydon Bounsall,########,########,321,Tax exclusive,,Flooring Installation,5-1445,1,654,,654,GST,65.4,,
30,Gmac Floors,########,########,30,Tax exclusive,,Flooring Installation,5-1445,1,"8,479.09",,"8,479.09",GST,847.91,,
37,Ketter Family Trust,########,########,37,Tax exclusive,,Floor Installations,5-1445,1,"3,737.82",,"3,737.82",GST,373.78,,
1293926,Ozroll Pty Ltd,########,########,1293926,Tax exclusive,,,5-1445,1,"1,847.55",,"1,847.55",GST,184.75,,
76196,eCollect,########,########,76196,Tax exclusive,,Debit collection payment,5-1445,1,169.5,,169.5,GST,16.95,,
31.12.23,National Tiles,########,########,31.12.23,Tax exclusive,,Statement dated 31.12.23,5-1445,1,"1,814.62",,"1,814.62",GST,181.46,,
KHT1865,Kehota,########,########,KHT1865,Tax exclusive,,64 Tina drive,5-1445,1,"1,631.82",,"1,631.82",GST,163.18,,
996404700,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 35425KM,6-1803,1,239.55,,239.55,GST,23.95,,
996404701,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 49526KM,6-1772,1,430,,430,GST,43,,
1294059,Ozroll Pty Ltd,########,########,1294059,Tax exclusive,,,5-1445,1,38.16,,38.16,GST,3.82,,
814,Warwicks Carpets Pty Ltd,########,########,814,Tax exclusive,,Carpet Installations,5-1445,1,"4,679.36",,"4,679.36",GST,467.94,,
ADG3961180,C & L Kertland Pty Ltd,########,########,ADG3961180,Tax exclusive,,Graham McMillan,5-1445,1,"8,909.09",,"8,909.09",GST,890.91,,
36,Ketter Family Trust,########,########,36,Tax exclusive,,Floor Installations,5-1442,1,"14,378.82",,"14,378.82",GST,"1,437.88",,
2453,Briggs Clarken,########,########,2453,Tax exclusive,,Installations,5-1442,1,"7,545.79",,"7,545.79",GST,754.58,,
2454,Briggs Clarken,########,########,2454,Tax exclusive,,Installations,5-1442,1,"5,350.00",,"5,350.00",GST,535,,
54,Michael Avery,########,########,54,Tax exclusive,,Floor Installations,5-1442,1,"1,807.48",,"1,807.48",GST,180.75,,
379664,Homemirus (QLD) Pty Ltd,########,########,379664,Tax exclusive,,Flooring Installation,5-1442,1,"9,581.24",,"9,581.24",GST,958.12,,
379665,BBC Digital,########,########,379665,Tax exclusive,,,6-1919,1,276.05,,276.05,GST,27.6,,
379667,Cleanaway Noosaville,########,########,379667,Tax exclusive,,Waste management,6-1926,1,"1,549.41",,"1,549.41",GST,154.94,,
379668,Hervey Bay Pelican Freight,########,########,379668,Tax exclusive,,December Statement,5-1442,1,192,,192,GST,19.2,,
379683,Supagas Pty Ltd,########,########,379683,Tax exclusive,,Gas supply Lower Mountain Road,5-1445,1,218.52,,218.52,GST,21.85,,
379684,Ergon Energy,########,########,379684,Tax exclusive,,,6-1492,1,136.29,,136.29,GST,13.63,,
379685,Queensland Transport,########,########,379685,Tax exclusive,,Rego,6-1771,1,892.05,,892.05,FRE,0,,
379700,The Flooring Co,########,########,379700,Tax exclusive,,Flooring installation,5-1442,1,"2,615.79",,"2,615.79",GST,261.58,,
379701,Shawn Hills,########,########,379701,Tax exclusive,,Flooring installation,5-1442,1,"3,865.55",,"3,865.55",N-T,0,,
KHT1898,Kehota,########,########,KHT1898,Tax exclusive,,3 Jordan cl,5-1445,1,"1,267.27",,"1,267.27",GST,126.73,,
85678,Advance Metal Industries Aust.,########,########,85678,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
85680,Advance Metal Industries Aust.,########,########,85680,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
85664,Advance Metal Industries Aust.,########,########,85664,Tax exclusive,,,5-1445,1,"1,461.42",,"1,461.42",GST,146.14,,
899,Fraser Coast Shed Builders Pty Ltd,########,########,899,Tax exclusive,,Paul Stoppa,5-1445,1,"2,363.64",,"2,363.64",GST,236.36,,
379824,Newfurn Floor Coverings LTD,########,########,379824,Tax exclusive,,December Statement,5-1445,1,"91,722.17",,"91,722.17",GST,"9,172.22",,
25-501045,Robert Spoltaric,########,########,25-501045,Tax exclusive,,Flooring installation,5-1445,1,"2,456.72",,"2,456.72",N-T,0,,
90045020,Fletcher Insulation,########,########,90045020,Tax exclusive,,Foam Cell liner,5-1445,1,"6,801.57",,"6,801.57",GST,680.16,,
100406752,Zen Flooring,########,########,1.00E+08,Tax exclusive,,Flooring installation,5-1445,1,700,,700,GST,70,,
8884,FCRC,########,########,8884,Tax exclusive,,,6-2024,1,"1,215.91",,"1,215.91",GST,121.59,,
379907,Ergon Energy,########,########,379907,Tax exclusive,,,6-1493,1,910.57,,910.57,GST,91.06,,
379908,Ergon Energy,########,########,379908,Tax exclusive,,,6-1492,1,672.9,,672.9,GST,67.29,,
85732,Advance Metal Industries Aust.,########,########,85732,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
996404714,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 43201KM,6-1787,1,327.73,,327.73,GST,32.77,,
10283,Admired Flooring,########,########,10283,Tax exclusive,,,5-1445,1,249.08,,249.08,GST,24.91,,
77,Dundowran Floorcoverings,########,########,77,Tax exclusive,,Flooring installation,5-1445,1,"1,750.00",,"1,750.00",GST,175,,
35870,FBHS (Aust) Pty Ltd,########,########,35870,Tax exclusive,,Robbie Muller,5-1439,1,579.65,,579.65,GST,57.97,,
416,United Warriors Football Club,########,########,416,Tax exclusive,,Sponsorship for 2024.,6-1458,1,"6,000.00",,"6,000.00",FRE,0,,
378704,Fraser Coast Shed Builders Pty Ltd,########,########,378704,Tax exclusive,,Monthly Rebate,5-1445,1,"2,727.27",,"2,727.27",GST,272.73,,
378703,Matthew Hearps,########,########,378703,Tax exclusive,,Monthly Rebate,5-1445,1,"2,727.27",,"2,727.27",GST,272.73,,
901,Fraser Coast Shed Builders Pty Ltd,########,########,901,Tax exclusive,,Lyette Seabrook,5-1445,1,"4,454.55",,"4,454.55",GST,445.45,,
900,Fraser Coast Shed Builders Pty Ltd,########,########,900,Tax exclusive,,Trent Petterson,5-1445,1,"4,881.82",,"4,881.82",GST,488.18,,
1151154,Nick Burke,########,########,1151154,Tax exclusive,,,5-1445,1,902.5,,902.5,GST,90.25,,
9,Nick Burke,########,########,9,Tax exclusive,,,5-1445,1,885,,885,GST,88.5,,
5,C Tucker,########,########,5,Tax exclusive,,Flooring installation,5-1445,1,"4,011.76",,"4,011.76",GST,401.18,,
17-50467,Darren Kennedy,########,########,17-50467,Tax exclusive,,Floor Installations,5-1445,1,681,,681,GST,68.1,,
66,William Howard,########,########,66,Tax exclusive,,Vinyl Plank Installation,5-1445,1,"3,752.06",,"3,752.06",N-T,0,,
KHT1900,Kehota,########,########,KHT1900,Tax exclusive,,83 Eastminster st,5-1445,1,282.73,,282.73,GST,28.27,,
12.01.24,National Tiles,########,########,12.01.24,Tax exclusive,,Statement dated 12.01.24,5-1445,1,"11,853.89",,"11,853.89",GST,"1,185.39",,
20247341,Rapid Building Approval,########,########,20247341,Tax exclusive,,Lot 122 (3) Parakeet cct,5-1439,1,722.73,,722.73,GST,72.27,,
5718,Noosa Council,########,########,5718,Tax exclusive,,Tip fees,6-1926,1,231,,231,GST,23.1,,
R23805,Coast Wide Certification,########,########,R23805,Tax exclusive,,3 Robin road,5-1439,1,909.09,,909.09,GST,90.91,,
R23804,Coast Wide Certification,########,########,R23804,Tax exclusive,,30 Topaz cct,5-1439,1,909.09,,909.09,GST,90.91,,
R23803,Coast Wide Certification,########,########,R23803,Tax exclusive,,4 Tristian way,5-1439,1,909.09,,909.09,GST,90.91,,
20247366,Rapid Building Approval,########,########,20247366,Tax exclusive,,Lot 7 (13) Gallery court,5-1439,1,722.73,,722.73,GST,72.27,,
35505,FBHS (Aust) Pty Ltd,########,########,35505,Tax exclusive,,Maryborough Child Centre,5-1439,1,312.58,,312.58,GST,31.26,,
32,Terry Lambert,########,########,32,Tax exclusive,,Flooring Installation,5-1445,1,"3,229.60",,"3,229.60",N-T,0,,
32,Gmac Floors,########,########,32,Tax exclusive,,Flooring Installation,5-1445,1,"3,379.40",,"3,379.40",GST,337.94,,
1294598,Ozroll Pty Ltd,########,########,1294598,Tax exclusive,,,5-1445,1,"2,909.22",,"2,909.22",GST,290.92,,
61125,Bell Dixon & Butler,########,########,61125,Tax exclusive,,Leanne Wilson dispute,6-1522,1,"1,866.82",,"1,866.82",GST,186.68,,
CBY1818-9/21325,Sunstar Timber Flooring,########,########,CBY1818-9/21325,Tax exclusive,,,5-1445,1,"1,614.84",,"1,614.84",GST,161.48,,
85797,Advance Metal Industries Aust.,########,########,85797,Tax exclusive,,,5-1445,1,265.15,,265.15,GST,26.52,,
142353,Goodyear Autocare Noosaville,########,########,142353,Tax exclusive,,Puncture repair & re-balance,6-1676,1,"1,277.27",,"1,277.27",GST,127.73,,
5,G Whitmarsh,########,########,5,Tax exclusive,,,5-1442,1,58.5,,58.5,N-T,0,,
75,The France Family Trust,########,########,75,Tax exclusive,,Flooring Installations,5-1442,1,"1,515.30",,"1,515.30",N-T,0,,
1730,The Flooring Co,########,########,1730,Tax exclusive,,Flooring installation,5-1442,1,"1,700.64",,"1,700.64",GST,170.06,,
380155,Australian Tax Office,########,########,380155,Tax exclusive,,BAS December 2023,2-1291,1,########,,########,N-T,0,,
ADG3961207,C & L Kertland Pty Ltd,########,########,ADG3961207,Tax exclusive,,Morgan Ratcliffe,5-1445,1,"3,727.27",,"3,727.27",GST,372.73,,
ADG3961206,C & L Kertland Pty Ltd,########,########,ADG3961206,Tax exclusive,,Graham Peatling,5-1445,1,"1,818.18",,"1,818.18",GST,181.82,,
R24003,Coast Wide Certification,########,########,R24003,Tax exclusive,,16 freshwater street,5-1439,1,818.18,,818.18,GST,81.82,,
R23809,Coast Wide Certification,########,########,R23809,Tax exclusive,,21 Atherton road,5-1439,1,818.18,,818.18,GST,81.82,,
R23807,Coast Wide Certification,########,########,R23807,Tax exclusive,,110 Neptune street,5-1439,1,909.09,,909.09,GST,90.91,,
R23808,Coast Wide Certification,########,########,R23808,Tax exclusive,,8 Conondale court,5-1439,1,909.09,,909.09,GST,90.91,,
R24005,Coast Wide Certification,########,########,R24005,Tax exclusive,,487 Esplanade,5-1439,1,909.09,,909.09,GST,90.91,,
R23810,Coast Wide Certification,########,########,R23810,Tax exclusive,,1 High Point road,5-1439,1,909.09,,909.09,GST,90.91,,
R24004,Coast Wide Certification,########,########,R24004,Tax exclusive,,11 Marocci street,5-1439,1,818.18,,818.18,GST,81.82,,
R24011,Coast Wide Certification,########,########,R24011,Tax exclusive,,22 Periwinkle crescent,5-1439,1,909.09,,909.09,GST,90.91,,
R24009,Coast Wide Certification,########,########,R24009,Tax exclusive,,80 Genrich road,5-1439,1,818.18,,818.18,GST,81.82,,
R24008,Coast Wide Certification,########,########,R24008,Tax exclusive,,52 Long street,5-1439,1,909.09,,909.09,GST,90.91,,
R24007,Coast Wide Certification,########,########,R24007,Tax exclusive,,55 Peppermint cct,5-1439,1,909.09,,909.09,GST,90.91,,
R24006,Coast Wide Certification,########,########,R24006,Tax exclusive,,21 Ross street,5-1439,1,818.18,,818.18,GST,81.82,,
R24002,Coast Wide Certification,########,########,R24002,Tax exclusive,,73 Waterview drive,5-1439,1,818.18,,818.18,GST,81.82,,
79,Michael Heslip,########,########,79,Tax exclusive,,Gayle Climas,5-1445,1,"1,954.55",,"1,954.55",GST,195.45,,
9120267,Wormald Hervey Bay,########,########,9120267,Tax exclusive,,Service of equipment 535 Boat Harbour Dr,6-1996,1,35,,35,GST,3.5,,
S9599,VAS-Vehicle Accessory Specialists,########,########,S9599,Tax exclusive,,Racking for UHI 22,5-1445,1,"1,609.04",,"1,609.04",GST,160.9,,
996404739,Cars Plus Mechanical,########,########,9.96E+08,Tax exclusive,,Service. 168383KM,6-1739,1,511.36,,511.36,GST,51.14,,
KHT1899,Kehota,########,########,KHT1899,Tax exclusive,,89 Eastminster st,5-1445,1,"1,000.00",,"1,000.00",GST,100,,
61081SR,Bell Dixon & Butler,########,########,61081SR,Tax exclusive,,Shareholders agreement,6-1522,1,"4,122.60",,"4,122.60",GST,412.26,,
18954,hervey Bay Mobile Windscreens,########,########,18954,Tax exclusive,,Supply & Fit New Windscreen.,6-1831,1,272.73,,272.73,GST,27.27,,
20247408,Rapid Building Approval,########,########,20247408,Tax exclusive,,Lot 224 (69) Parklands blvd,5-1439,1,722.73,,722.73,GST,72.27,,
20247411,Rapid Building Approval,########,########,20247411,Tax exclusive,,Lot 109 (10) Bounty cct,5-1439,1,722.73,,722.73,GST,72.27,,
20247403,Rapid Building Approval,########,########,20247403,Tax exclusive,,Lot 82 (41) Brighton street,5-1439,1,722.73,,722.73,GST,72.27,,
10322-50148,Admired Flooring,########,########,10322-50148,Tax exclusive,,,5-1445,1,828.4,,828.4,GST,82.84,,
57692,Show Off Home Improvements,########,########,57692,Tax exclusive,,Supply only 5 x Flame retardant brush seals,5-1445,1,590.91,,590.91,GST,59.09,,
904,Fraser Coast Shed Builders Pty Ltd,########,########,904,Tax exclusive,,Meals on Wheels,5-1445,1,932,,932,GST,93.2,,
36104,FBHS (Aust) Pty Ltd,########,########,36104,Tax exclusive,,GJ Hervey bay,5-1439,1,606.85,,606.85,GST,60.69,,
R24018,Coast Wide Certification,########,########,R24018,Tax exclusive,,48 Beach drive,5-1439,1,909.09,,909.09,GST,90.91,,
380326,Telstra,########,########,380326,Tax exclusive,,,6-2013,1,"2,080.44",,"2,080.44",GST,208.04,,
26,Robert Spoltaric,########,########,26,Tax exclusive,,Flooring installation,5-1445,1,"1,276.80",,"1,276.80",N-T,0,,
902,Fraser Coast Shed Builders Pty Ltd,########,########,902,Tax exclusive,,Jack Brown,5-1445,1,"3,772.73",,"3,772.73",GST,377.27,,
175-50509,Paul Wignall,########,########,175-50509,Tax exclusive,,72 Wattle street,5-1445,1,"2,000.00",,"2,000.00",N-T,0,,
50440-1,Allstrong Locksmiths and Security,########,########,50440-1,Tax exclusive,,,5-1445,1,33.64,,33.64,GST,3.36,,
6713,Batch Mewing Lawyers,########,########,6713,Tax exclusive,,Legal Matters regarding David Coggins,6-1522,1,"6,188.00",,"6,188.00",GST,618.8,,
380676,Possum Paradise Nursery,########,########,380676,Tax exclusive,,30 Hough way,5-1445,1,186.36,,186.36,GST,18.64,,
18-50564,Darren Kennedy,########,########,18-50564,Tax exclusive,,Floor Installations,5-1445,1,572.38,,572.38,GST,57.24,,
24026,River Heads Flooring,########,########,24026,Tax exclusive,,Flooring installation,5-1445,1,"2,531.87",,"2,531.87",GST,253.19,,
11-50199,Nick Burke,########,########,11-50199,Tax exclusive,,,5-1445,1,"3,837.96",,"3,837.96",GST,383.8,,
22.01.24,National Tiles,########,########,22.01.24,Tax exclusive,,Statement dated 22.01.24,5-1445,1,"12,228.88",,"12,228.88",GST,"1,222.89",,
R24021,Coast Wide Certification,########,########,R24021,Tax exclusive,,71 Condor drive,5-1439,1,909.09,,909.09,GST,90.91,,
3805,Trai's Gardening & Lawn Maintenance,########,########,3805,Tax exclusive,,Gardens,6-1507,1,181.82,,181.82,GST,18.18,,
35756,FBHS (Aust) Pty Ltd,########,########,35756,Tax exclusive,,tamara Sheppard,5-1439,1,309.18,,309.18,GST,30.92,,
24024,River Heads Flooring,########,########,24024,Tax exclusive,,Flooring installation,5-1445,1,550,,550,GST,55,,
24025,River Heads Flooring,########,########,24025,Tax exclusive,,Flooring installation,5-1445,1,320,,320,GST,32,,
ADG3961209,C & L Kertland Pty Ltd,########,########,ADG3961209,Tax exclusive,,Roy & Cheryl Bromley,5-1445,1,"4,454.55",,"4,454.55",GST,445.45,,
20247446,Rapid Building Approval,########,########,20247446,Tax exclusive,,Lot 32 (28) Ansons road,5-1439,1,722.73,,722.73,GST,72.27,,
33,Gmac Floors,########,########,33,Tax exclusive,,Flooring Installation,5-1445,1,"2,014.00",,"2,014.00",GST,201.4,,
76,The France Family Trust,########,########,76,Tax exclusive,,Flooring Installations,5-1442,1,"2,923.57",,"2,923.57",N-T,0,,
12-50266,Shawn Hills,########,########,12-50266,Tax exclusive,,Flooring installation,5-1442,1,452.72,,452.72,N-T,0,,
810,Michael Williams .,########,########,810,Tax exclusive,,Payment of Trolley as per diagram,6-1998,1,900,,900,GST,90,,
380703,Australian Super,########,########,380703,Tax exclusive,,Kyle Aitcheson,2-1383,1,459.92,,459.92,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Craig Bastin - $600 Salary Sacrifice,2-1383,1,"1,294.09",,"1,294.09",N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Lisa Bayliss,2-1383,1,544.21,,544.21,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Collin Behrendorff,2-1383,1,983,,983,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Shane Blackburn,2-1383,1,338.41,,338.41,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Ethan Borsboom,2-1383,1,461.35,,461.35,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Joel Carmichael,2-1383,1,144.36,,144.36,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Shane Chapman,2-1383,1,514.58,,514.58,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Luke Cleaver,2-1383,1,709.14,,709.14,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Leon Condie,2-1383,1,658.58,,658.58,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Jeffrey Covill,2-1383,1,712.96,,712.96,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Jillian Cowley,2-1383,1,628.67,,628.67,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Garth Cremor,2-1383,1,617.33,,617.33,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Darrin Defty,2-1383,1,480.2,,480.2,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Marie Defty,2-1383,1,673.39,,673.39,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Matthew Duffy,2-1383,1,500.99,,500.99,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Roland Edwards,2-1383,1,539.64,,539.64,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Brent Firth-Meldrum,2-1383,1,596.66,,596.66,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Benjamin Fox,2-1383,1,296.11,,296.11,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Stephen Frewen-Lord,2-1383,1,561.07,,561.07,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Graham Gensch,2-1383,1,715.19,,715.19,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Bradley Gillard,2-1383,1,633.76,,633.76,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Rod Hamilton,2-1383,1,554.33,,554.33,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Megan Hill -,2-1383,1,664.76,,664.76,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Sam Hill -,2-1383,1,"1,345.85",,"1,345.85",N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Stephen Hill,2-1383,1,330,,330,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Rodney Kelly,2-1383,1,552.88,,552.88,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Gerard Keygan - $200 Salary Sacrifice,2-1383,1,873.99,,873.99,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Janet Kolasa,2-1383,1,644.29,,644.29,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Aaron Krohn,2-1383,1,870.35,,870.35,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Taviria Kura (Tom),2-1383,1,405.87,,405.87,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Moyle Manu,2-1383,1,693.27,,693.27,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Peter McMaster,2-1383,1,731.05,,731.05,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Daniel Meldrum,2-1383,1,793.95,,793.95,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Chris Merrison,2-1383,1,639.68,,639.68,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Jayden Pobke,2-1383,1,516.97,,516.97,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Ben Redzimski,2-1383,1,987.64,,987.64,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Erin Rogers,2-1383,1,383.71,,383.71,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Shane Roka,2-1383,1,554.15,,554.15,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Shane Shovelling,2-1383,1,507.23,,507.23,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Daniel Smith,2-1383,1,348.54,,348.54,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,George Tziarkas - $1000 Salary Sacrifice,2-1383,1,"1,917.06",,"1,917.06",N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Sam Whatman,2-1383,1,636.42,,636.42,N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Mark Williams - $1050 Salary Sacrifice,2-1383,1,"1,727.66",,"1,727.66",N-T,0,,
380703,Australian Super,########,########,380703,Tax exclusive,,Jacob Wilson,2-1383,1,518.41,,518.41,N-T,0,,
